Date,Day,Week,Phase,Gym,Run,Run_km,Run_Pace,Double_Day,Notes,Result
19/03/2027,Friday,41,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,18,4:00–4:05/km,No,Sub-3 threshold pace. Hardest session of week. Warm up well — first rep not a race.,
20/03/2027,Saturday,41,Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
21/03/2027,Sunday,41,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Long Run + MP,35,5:00–5:30/km (16km @ 4:15),No,First 2/3 easy then marathon pace section. Key race-specific session. Fuel every 30min.,
,,,,,,,,,,
22/03/2027,Monday,42 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,5,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
23/03/2027,Tuesday,42 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,10,3:30/km,No,OSSAAT 3:30 group. Race pace territory. 6 even reps matters more than heroics.,
24/03/2027,Wednesday,42 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Upper,Medium-Long Run,14,5:00–5:30/km,Yes,Strong aerobic effort. HR 150-165. Builds race-ready endurance midweek.,
25/03/2027,Thursday,42 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Easy Run,12,5:00–5:45/km,No,No gym today. Full easy recovery — legs carry big load in Phase 3.,
26/03/2027,Friday,42 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,14,4:00–4:05/km,No,Sub-3 threshold pace. Hardest session of week. Warm up well — first rep not a race.,
27/03/2027,Saturday,42 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
28/03/2027,Sunday,42 (Cutback),Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Long Run,28,5:00–5:30/km,No,High-volume long run. Steady even effort throughout. Fuel and hydrate every 30min.,
,,,,,,,,,,
29/03/2027,Monday,43,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
30/03/2027,Tuesday,43,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,10,3:30/km,No,OSSAAT 3:30 group. Race pace territory. 6 even reps matters more than heroics.,
31/03/2027,Wednesday,43,Phase 3 — Marathon Specific (Jan–Apr),Upper,Medium-Long Run,16,5:00–5:30/km,Yes,Strong aerobic effort. HR 150-165. Builds race-ready endurance midweek.,
01/04/2027,Thursday,43,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Easy Run,14,5:00–5:45/km,No,No gym today. Full easy recovery — legs carry big load in Phase 3.,
02/04/2027,Friday,43,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,14,4:00–4:05/km,No,Sub-3 threshold pace. Hardest session of week. Warm up well — first rep not a race.,
03/04/2027,Saturday,43,Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
04/04/2027,Sunday,43,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Long Run + MP,30,5:00–5:30/km (12km @ 4:15),No,First 2/3 easy then marathon pace section. Key race-specific session. Fuel every 30min.,
,,,,,,,,,,
05/04/2027,Monday,44,Phase 3 — Marathon Specific (Jan–Apr),Legs,Recovery Run,6,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
06/04/2027,Tuesday,44,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Intervals,10,3:30/km,No,OSSAAT 3:30 group. Race pace territory. 6 even reps matters more than heroics.,
07/04/2027,Wednesday,44,Phase 3 — Marathon Specific (Jan–Apr),Upper,Medium-Long Run,12,5:00–5:30/km,Yes,Strong aerobic effort. HR 150-165. Builds race-ready endurance midweek.,
08/04/2027,Thursday,44,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Easy Run,10,5:00–5:45/km,No,No gym today. Full easy recovery — legs carry big load in Phase 3.,
09/04/2027,Friday,44,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Tempo,10,4:00–4:05/km,No,Sub-3 threshold pace. Hardest session of week. Warm up well — first rep not a race.,
10/04/2027,Saturday,44,Phase 3 — Marathon Specific (Jan–Apr),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
11/04/2027,Sunday,44,Phase 3 — Marathon Specific (Jan–Apr),Gym Rest,Long Run,22,5:00–5:30/km,No,High-volume long run. Steady even effort throughout. Fuel and hydrate every 30min.,
,,,,,,,,,,
12/04/2027,Monday,45,Taper,Legs,Recovery Run,4,6:00–6:30/km,Yes,Very easy shakeout. Keep legs turning over. Trust the taper — no heroics.,
13/04/2027,Tuesday,45,Taper,Gym Rest,Intervals,8,3:30/km,No,OSSAAT 3:30 group. Race pace territory. 6 even reps matters more than heroics.,
14/04/2027,Wednesday,45,Taper,Upper,Easy Run,8,5:30–6:00/km,Yes,Easy maintenance. Keep legs loose. Fitness is banked — resist urge to push.,
15/04/2027,Thursday,45,Taper,Gym Rest,Easy Run,6,5:30–6:15/km,No,Easy maintenance. Keep legs loose. Fitness is banked — resist urge to push.,
16/04/2027,Friday,45,Taper,Gym Rest,Tempo,6,4:15–4:20/km,No,Sub-3 threshold pace. Hardest session of week. Warm up well — first rep not a race.,
17/04/2027,Saturday,45,Taper,Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
18/04/2027,Sunday,45,Taper,Gym Rest,Long Run,14,5:00–5:30/km,No,Shorter long run — resist urge to do more. Legs need rest. Keep it easy.,
,,,,,,,,,,
19/04/2027,Monday,46,Taper,Gym Rest,Recovery Run,3,6:00–6:30/km,No,Very easy shakeout. Keep legs turning over. Trust the taper — no heroics.,
20/04/2027,Tuesday,46,Taper,Gym Rest,Easy Run,6,5:30–6:00/km,No,Easy maintenance. Keep legs loose. Fitness is banked — resist urge to push.,
21/04/2027,Wednesday,46,Taper,Gym Rest,Easy Run,4,5:30–6:00/km,No,Easy maintenance. Keep legs loose. Fitness is banked — resist urge to push.,
22/04/2027,Thursday,46,Taper,Gym Rest,Easy Run,3,5:30–6:15/km,No,Easy maintenance. Keep legs loose. Fitness is banked — resist urge to push.,
23/04/2027,Friday,46,Taper,Gym Rest,Strides,3,4:15/km,No,Short strides at race pace feel. 4-6 x 80m. Easy jogging between. Stay relaxed.,
24/04/2027,Saturday,46,Taper,Gym Rest,,,,No,Rest day. Prioritise sleep and nutrition.,
25/04/2027,Sunday,46,Race Day,Rest,MARATHON,42.2,4:15/km (target),No,RACE DAY. A=sub-3:00 | B=sub-3:15 | C=sub-3:30. Start easy first 10km. Trust your training.,
